qid,Len,Den,P7,P13
,b4612,hypothetical protein,"""156""",Q8
,b3446,stable heat shock chaperone,"""285""",Q8
,b3447,gamma-glutamyltranspeptidase,"""1743""",Q8
,b3448,conserved protein%2C DUF2756 family,"""441""",Q8
,b3449,glycerophosphodiester phosphodiesterase%2C cytosolic,"""744""",Q8
,b3450,glycerol-3-phosphate transporter subunit,"""1071""",Q8
,b3451,glycerol-3-phosphate transporter subunit,"""846""",Q8
,b3453,glycerol-3-phosphate transporter subunit,"""1317""",Q8
,b3454,leucine%2Fisoleucine%2Fvaline transporter subunit,"""714""",Q8
,b3455,leucine%2Fisoleucine%2Fvaline transporter subunit,"""768""",Q8
,b3456,leucine%2Fisoleucine%2Fvaline transporter subunit,"""1278""",Q8
,b3457,leucine%2Fisoleucine%2Fvaline transporter subunit,"""927""",Q8
,b3458,leucine transporter subunit,"""1110""",Q8
,b3459,PanD autocleavage accelerator%2C panothenate synthesis,"""384""",Q8
,b3460,leucine%2Fisoleucine%2Fvaline transporter subunit,"""1104""",Q8
,b3461,RNA polymerase%2C sigma 32 %28sigma H%29 factor,"""855""",Q8
,b3462,putative transporter subunit: membrane component of ABC superfamily,"""1059""",Q8
,b3463,putative transporter subunit: ATP-binding component of ABC superfamily,"""669""",Q8
,b3464,Signal Recognition Particle %28SRP%29 receptor,"""1494""",Q8
,b3465,16S rRNA m%282%29G966 methyltransferase%2C SAM-dependent,"""597""",Q8
,b3466,conserved protein%2C DUF1145 family,"""270""",Q8
,b3467,conserved protein%2C DUF2500 family,"""360""",Q8
,b3468,putative inner membrane protein%2C TMEM86 family,"""627""",Q8
,b3469,zinc%2C cobalt and lead efflux system,"""2199""",Q8
,b3470,sulfurtransferase required 2-thiolation step of mnm%285%29-s%282%29U34-tRNA synthesis,"""246""",Q8
,b3471,inner membrane protein%2C DUF165 family,"""666""",Q8
,b3472,periplasmic protein%2C predicted lipoprotein,"""558""",Q8
,b3473,putative arabinose efflux transporter,"""1218""",Q8
,b3474,inner membrane protein%2C predicted membrane permease%2C UPF0118 family,"""1050""",Q8
,b3475,holo-%28acyl carrier protein%29 synthase 2,"""588""",Q8
,b3476,nickel-binding%2C heme-binding periplasmic protein,"""1575""",Q8
,b3479,nickel transporter subunit,"""765""",Q8
,b3480,nickel transporter subunit,"""807""",Q8
,b3481,DNA-binding transcriptional repressor%2C Ni-binding,"""402""",Q8
,b3482,rhsB element core protein RshB,"""4236""",Q8
,b4552,pseudo,"""351""",Q8
,b3483,hypothetical protein,"""384""",Q8
,b3484,putative transposase,"""1137""",Q8
,b3486,fused ribosome-associated ATPase: ATP-binding protein%2FATP-binding protein%2Fpredicted membrane protein,"""2736""",Q8
,b3487,putative membrane fusion protein %28MFP%29 of efflux pump,"""1068""",Q8
,b3488,hypothetical protein,"""1623""",Q8
,b4660,pseudo,"""1607""",Q8
,b3491,acid resistance protein%2C inner membrane,"""1053""",Q8
,b3492,putative oxidoreductase with FAD%2FNAD%28P%29-binding domain,"""1203""",Q8
,b3493,phosphate transporter%2C low-affinity%3B tellurite importer,"""1500""",Q8
,b3494,universal stress %28ethanol tolerance%29 protein B,"""336""",Q8
,b3495,universal stress global response regulator,"""435""",Q8
,b3496,dipeptide and tripeptide permease B,"""1470""",Q8
,b3497,16S rRNA m%282%29G1516 methyltransferase%2C SAM-dependent,"""753""",Q8
,b3498,oligopeptidase A,"""2043""",Q8
,b3499,23S rRNA m%286%29A2030 methyltransferase%2C SAM-dependent,"""843""",Q8
,b3500,glutathione oxidoreductase,"""1353""",Q8
,b4613,damage inducible protein,"""129""",Q8
,b3501,DNA-binding transcriptional repressor,"""354""",Q8
,b3502,arsenite%2Fantimonite transporter,"""1290""",Q8
,b3503,arsenate reductase,"""426""",Q8
,b3504,pseudo,"""741""",Q8
,b3505,IS5 transposase and trans-activator,"""1017""",Q8
,b3504,pseudo,"""483""",Q8
,b3506,outer membrane lipoprotein,"""567""",Q8
,b3507,putative DNA-binding transcriptional regulator,"""531""",Q8
,b3508,putative Mg%282%2B%29 transport ATPase%2C inner membrane protein,"""648""",Q8
,b3509,acid-resistance protein,"""327""",Q8
,b3510,stress response protein acid-resistance protein,"""333""",Q8
,b3511,acid-resistance membrane protein,"""573""",Q8
,b4704,antisense sRNA ArrS%2C function unknown,"""69""",Q8
,b3512,DNA-binding transcriptional activator,"""528""",Q8
,b3513,anaerobic multidrug efflux transporter%2C ArcA-regulated,"""1158""",Q8
,b3514,anaerobic multidrug efflux transporter%2C ArcA-regulated,"""3114""",Q8
,b3515,transcriptional activator of gadA and gadBC%3B repressor of gadX,"""729""",Q8
,b4452,sRNA antisense regulator of gadAB transcriptional activator GadX mRNA%2C Hfq-dependent,"""105""",Q8
,b3516,DNA-binding transcriptional dual regulator,"""825""",Q8
,b3517,glutamate decarboxylase A%2C PLP-dependent,"""1401""",Q8
,b3518,putative cytochrome C peroxidase,"""1398""",Q8
,b3519,cytoplasmic trehalase,"""1650""",Q8
,b3520,putative two-component system response regulator%2C LuxR-like HTH domain%2C function unknown,"""603""",Q8
,b3521,putative DNA-binding transcriptional regulator,"""900""",Q8
,b3522,putative alternate lipid exporter%2C suppressor of msbA and KDO essentiality%2C inner membrane protein,"""1014""",Q8
,b3523,inner membrane protein%2C predicted transporter,"""1323""",Q8
,b3524,Inner membrane protein%2C AsmA family,"""2061""",Q8
,b3525,cyclic-di-GMP phosphodiesterase%2C FlhDC-regulated,"""768""",Q8
,b3526,ketodeoxygluconokinase,"""930""",Q8
,b3527,putative zinc-dependent peptidase,"""1497""",Q8
,b3528,C4-dicarboxylic acid%2C orotate and citrate transporter,"""1287""",Q8
,b3529,cyclic-di-GMP phosphodiesterase,"""1989""",Q8
,b3530,cellulose synthase subunit,"""3474""",Q8
,b3532,regulator of cellulose synthase%2C cyclic di-GMP binding,"""2340""",Q8
,b3533,cellulose synthase%2C catalytic subunit,"""2619""",Q8
,b3534,pseudo,"""753""",Q8
,b3535,hypothetical protein,"""189""",Q8
,b3536,cellulose production protein,"""1572""",Q8
,b3537,hypothetical protein,"""192""",Q8
,b3538,inner membrane protein%2C predicted endoglucanase%2C DUF3260 family,"""1680""",Q8
,b4453,toxic polypeptide%2C small,"""108""",Q8
,b4454,sRNA antisense regulator affects LdrD translation%3B proposed addiction module in LDR-D repeat%2C with toxic peptide LdrD,"""66""",Q8
,b3539,putative transporter,"""1272""",Q8
,b3540,dipeptide transporter,"""1005""",Q8
,b3541,dipeptide%2Fheme transporter,"""984""",Q8
,b3542,dipeptide%2Fheme transporter,"""903""",Q8
,b3543,dipeptide%2Fheme transporter,"""1020""",Q8
,b3544,dipeptide transporter,"""1608""",Q8
,b3545,tRNA-Pro,"""77""",Q8
,b3546,KDO phosphoethanolamine transferase%2C Ca%282%2B%29-inducible,"""1692""",Q8
,b3547,inner membrane protein%2C predicted oxalate-formate antiporter,"""1209""",Q8
,b3548,hypothetical protein,"""699""",Q8
,b3549,3-methyl-adenine DNA glycosylase I%2C constitutive,"""564""",Q8
,b3550,putative acyltransferase with acyl-CoA N-acyltransferase domain,"""441""",Q8
,b3551,biotin sulfoxide reductase,"""2334""",Q8
,b3552,multicopy suppressor of bamB%3B outer membrane lipoprotein,"""660""",Q8
,b3553,glyoxylate%2Fhydroxypyruvate reductase B,"""975""",Q8
,b3554,hypothetical protein,"""711""",Q8
,b3555,putative transcriptional regulator%2C HTH_CROC1 family,"""291""",Q8
,b3556,RNA chaperone and anti-terminator%2C cold-inducible,"""213""",Q8
,b4647,pseudo,"""185""",Q8
,b4455,toxic polypeptide%2C small,"""153""",Q8
,b3557,IS150 transposase A,"""522""",Q8
,b3558,IS150 transposase B,"""852""",Q8
,b4614,pseudo,"""30""",Q8
,b3559,glycine tRNA synthetase%2C beta subunit,"""2070""",Q8
,b3560,glycine tRNA synthetase%2C alpha subunit,"""912""",Q8
,b4553,hypothetical protein,"""300""",Q8
,b3561,O-acetyltransferase for enterobacterial common antigen %28ECA%29,"""996""",Q8
,b3562,inner membrane protein%2C YiaAB family,"""438""",Q8
,b3564,xylulokinase,"""1455""",Q8
,b3565,D-xylose isomerase,"""1323""",Q8
,b3566,D-xylose transporter subunit,"""993""",Q8
,b3567,fused D-xylose transporter subunits of ABC superfamily: ATP-binding components,"""1542""",Q8
,b3569,DNA-binding transcriptional activator%2C xylose-binding,"""1179""",Q8
,b3568,D-xylose ABC transporter permease subunit,"""1182""",Q8
,b3570,hypothetical protein,"""825""",Q8
,b3571,alpha-amylase,"""2031""",Q8
,b3572,valine-pyruvate aminotransferase 1,"""1254""",Q8
,b3573,putative hydrogenase%2C 4Fe-4S ferredoxin-type component,"""474""",Q8
,b3574,DNA-binding transcriptional repressor of yiaK-S operon,"""849""",Q8
,b3577,L-dehydroascorbate transporter%2C TRAP permease small subunit for TRAP %28TRipartite ATP-independent Periplasmic%29 family transporter YiaMNO,"""474""",Q8
,b3578,L-dehydroascorbate transporter%2C TRAP permease large subunit for TRAP %28TRipartite ATP-independent Periplasmic%29 family transporter YiaMNO,"""1278""",Q8
,b3580,L-xylulose kinase,"""1497""",Q8
,b3583,L-ribulose-5-phosphate 4-epimerase,"""696""",Q8
,b3582,putative L-xylulose 5-phosphate 3-epimerase,"""861""",Q8
,b4648,pseudo,"""102""",Q8
,b4649,pseudo,"""192""",Q8
,b3584,putative outer membrane protein,"""741""",Q8
,b3585,putative DNA-binding transcriptional regulator,"""975""",Q8
,b3586,membrane fusion protein %28MFP%29 component of efflux pump%2C signal anchor,"""1137""",Q8
,b3587,inner membrane protein%2C DUF3302 family,"""324""",Q8
,b3588,aldehyde dehydrogenase B,"""1539""",Q8
,b3589,putative Fe-containing alcohol dehydrogenase%2C Pfam00465 family,"""1152""",Q8
,b3591,selenocysteine synthase,"""1392""",Q8
,b3592,glutathione S-transferase homolog,"""609""",Q8
,b3593,rhsA element core protein RshA,"""4134""",Q8
,b3594,putative lyase containing HEAT-repeat,"""843""",Q8
,b3595,pseudo,"""945""",Q8
,b4651,pseudo,"""365""",Q8
,b4650,pseudo,"""252""",Q8
,b3597,hypothetical protein,"""1137""",Q8
,b3598,inner membrane protein%2C DUF3302 family,"""363""",Q8
,b3599,fused mannitol-specific PTS enzymes: IIA components%2FIIB components%2FIIC components,"""1914""",Q8
,b3600,mannitol-1-phosphate dehydrogenase%2C NAD-dependent,"""1149""",Q8
,b3601,mannitol operon repressor,"""588""",Q8
,b4554,hypothetical protein,"""210""",Q8
,b3602,conserved protein%2C ribosome-associated,"""363""",Q8
,b3603,L-lactate permease,"""1656""",Q8
,b3605,L-lactate dehydrogenase%2C FMN-linked,"""1191""",Q8
,b3606,tRNA Leu mC34%2CmU34 2%27-O-methyltransferase%2C SAM-dependent,"""474""",Q8
,b3607,serine acetyltransferase,"""822""",Q8
,b3608,glycerol-3-phosphate dehydrogenase %28NAD%2B%29,"""1020""",Q8
,b3609,protein export chaperone,"""468""",Q8
,b3610,glutaredoxin 3,"""252""",Q8
,b3611,putative rhodanese-related sulfurtransferase,"""432""",Q8
,b3612,phosphoglycero mutase III%2C cofactor-independent,"""1545""",Q8
,b3614,putative polysaccharide deacetylase,"""960""",Q8
,b3613,activator of AmiB%2CC murein hydrolases%2C septal ring factor,"""1260""",Q8
,b3615,putative glycosyl transferase,"""1035""",Q8
,b3616,threonine 3-dehydrogenase%2C NAD%28P%29-binding,"""1026""",Q8
,b3617,glycine C-acetyltransferase,"""1197""",Q8
,b3618,conserved protein%2C pfam09612 family,"""858""",Q8
,b3619,ADP-L-glycero-D-mannoheptose-6-epimerase%2C NAD%28P%29-binding,"""933""",Q8
,b3620,ADP-heptose:LPS heptosyltransferase II,"""1047""",Q8
,b3621,ADP-heptose:LPS heptosyl transferase I,"""960""",Q8
,b3622,O-antigen ligase,"""1260""",Q8
,b3623,lipopolysaccharide core biosynthesis,"""1074""",Q8
,b3625,lipopolysaccharide core biosynthesis protein,"""699""",Q8
,b3626,UDP-D-glucose:%28galactosyl%29lipopolysaccharide glucosyltransferase,"""1017""",Q8
,b3627,UDP-D-galactose:%28glucosyl%29lipopolysaccharide-alpha-1%2C3-D-galactosyltransferase,"""1020""",Q8
,b3628,UDP-D-galactose:%28glucosyl%29lipopolysaccharide-1%2C6-D-galactosyltransferase,"""1080""",Q8
,b3629,lipopolysaccharide core biosynthesis protein,"""936""",Q8
,b3630,kinase that phosphorylates core heptose of lipopolysaccharide,"""798""",Q8
,b3631,glucosyltransferase I,"""1125""",Q8
,b3632,lipopolysaccharide core biosynthesis protein,"""1035""",Q8
,b3633,3-deoxy-D-manno-octulosonic-acid transferase %28KDO transferase%29,"""1278""",Q8
,b3634,pantetheine-phosphate adenylyltransferase,"""480""",Q8
,b3635,formamidopyrimidine%2F5-formyluracil%2F 5-hydroxymethyluracil DNA glycosylase,"""810""",Q8
,b3637,50S ribosomal subunit protein L28,"""237""",Q8
,b3638,conserved protein%2C UPF0758 family,"""669""",Q8
,b3639,fused 4%27-phosphopantothenoylcysteine decarboxylase%2Fphosphopantothenoylcysteine synthetase%2C FMN-binding,"""1221""",Q8
,b3640,deoxyuridinetriphosphatase,"""456""",Q8
,b3641,DNA-binding anti-FtsZ division inhibitor,"""597""",Q8
,b3642,orotate phosphoribosyltransferase,"""642""",Q8
,b3643,defective ribonuclease PH,"""687""",Q8
,b3644,conserved protein%2C UPF0701 family,"""864""",Q8
,b3645,DNA-damage-inducible protein,"""825""",Q8
,b3646,inner membrane protein%2C UPF0126 family,"""618""",Q8
,b3647,DNA ligase%2C NAD%28%2B%29-dependent,"""1683""",Q8
,b3648,guanylate kinase,"""624""",Q8
,b3649,RNA polymerase%2C omega subunit,"""276""",Q8
,b3650,bifunctional %28p%29ppGpp synthetase II%2F guanosine-3%27%2C5%27-bis pyrophosphate 3%27-pyrophosphohydrolase,"""2109""",Q8
,b3652,ATP-dependent DNA helicase,"""2082""",Q8
,b3651,tRNA mG18-2%27-O-methyltransferase%2C SAM-dependent,"""690""",Q8
,b3653,glutamate transporter,"""1206""",Q8
,b3654,xanthine permease,"""1392""",Q8
,b3655,hypothetical protein,"""1710""",Q8
,b3656,putative alpha-glucosidase,"""2319""",Q8
,b3657,putative transporter,"""1383""",Q8
,b3658,tRNA-Sec,"""95""",Q8
,b4653,pseudo,"""132""",Q8
,b3659,putative arabinose efflux transporter,"""1185""",Q8
,b3660,putative inner membrane protein,"""924""",Q8
,b4555,putative periplasmic protein,"""294""",Q8
,b3661,cytoplasmic membrane lipoprotein-28,"""819""",Q8
,b3662,putative transporter,"""1191""",Q8
,b3663,hypothetical protein,"""453""",Q8
,b3664,putative adenine permease,"""1335""",Q8
,b3665,cryptic adenine deaminase,"""1767""",Q8
,b3666,hexose phosphate transporter,"""1392""",Q8
,b3667,membrane protein regulates uhpT expression,"""1320""",Q8
,b3668,sensory histidine kinase in two-component regulatory sytem with UhpA,"""1503""",Q8
,b3669,DNA-binding response regulator in two-component regulatory system wtih UhpB,"""591""",Q8
,b3671,acetolactate synthase I%2C large subunit,"""1689""",Q8
,b3672,ilvB operon leader peptide,"""99""",Q8
,b4616,sRNA antisense regulators IstR-1 and IstR-2%2C affectr tisB%2C Hfq-dependent,"""140""",Q8
,b4618,toxic membrane persister formation peptide%2C LexA-regulated,"""90""",Q8
,b3673,multidrug efflux system protein,"""1185""",Q8
,b3674,putative DNA-binding transcriptional regulator,"""498""",Q8
,b3675,inner membrane protein,"""363""",Q8
,b3677,inner membrane protein,"""450""",Q8
,b3676,inner membrane protein%2C DUF202 family,"""348""",Q8
,b3678,putative sulfatase%2Fphosphatase,"""1494""",Q8
,b3679,putative transporter,"""1716""",Q8
,b3680,putative transcriptional regulator%2C AraC family,"""894""",Q8
,b4556,pseudo,"""815""",Q8
,b3683,pseudo,"""1617""",Q8
,b3684,putative DNA-binding transcriptional regulator,"""717""",Q8
,b3685,putative transporter,"""1662""",Q8
,b3686,heat shock chaperone,"""429""",Q8
,b3688,conserved outer membrane protein,"""333""",Q8
,b3687,heat shock chaperone,"""414""",Q8
,b3689,hypothetical protein,"""1248""",Q8
,b3690,colicin M resistance protein%3B FAD-binding protein%2C predicted oxidoreductase,"""1065""",Q8
,b3691,D-galactonate transporter,"""1293""",Q8
,b4478,galactonate dehydratase,"""1149""",Q8
,b3696,putative lipoproteinC,"""657""",Q8
,b3697,sugar phosphate phosphatase%3B substrates include erythrose 4-P and mannose 1-P phosphatase,"""813""",Q8
,b3698,conserved protein%2C DUF937 family,"""399""",Q8
,b3699,DNA gyrase%2C subunit B,"""2415""",Q8
,b3700,gap repair protein,"""1074""",Q8
,b3701,DNA polymerase III%2C beta subunit,"""1101""",Q8
,b3702,chromosomal replication initiator protein DnaA%2C DNA-binding transcriptional dual regulator,"""1404""",Q8
,b3703,50S ribosomal subunit protein L34,"""141""",Q8
,b3705,membrane protein insertase,"""1647""",Q8
,b4557,membrane protein insertion efficiency factor%2C inner membrane protein%2C UPF0161 family,"""258""",Q8
,b3706,GTPase required for 5-methylaminomethyl-2-thiouridine modification at tRNA U34,"""1365""",Q8
,b3707,tryptophanase leader peptide,"""75""",Q8
,b3708,tryptophanase%2FL-cysteine desulfhydrase%2C PLP-dependent,"""1416""",Q8
,b3709,tryptophan transporter of low affinity,"""1248""",Q8
,b3710,multidrug efflux system protein,"""1176""",Q8
,b3711,putative DNA-binding transcriptional regulator,"""960""",Q8
,b3712,putative phosphopantetheinyl transferase%2C COG2091 family,"""750""",Q8
,b3713,chromate reductase%2C Class I%2C flavoprotein,"""567""",Q8
,b3714,adenine permease%2C high affinity%3B adenine:H%2B symporter,"""1338""",Q8
,b3715,phosphoenolpyruvate and 6-phosphogluconate phosphatase,"""666""",Q8
,b3716,inner membrane protein%2C creBC regulon,"""468""",Q8
,b3717,conserved protein%2C UPF0167 family,"""588""",Q8
,b3718,putative 6-phosphogluconolactonase,"""723""",Q8
,b3719,putative xylanase,"""1170""",Q8
,b3720,carbohydrate-specific outer membrane porin%2C cryptic,"""1617""",Q8
,b3721,cryptic phospho-beta-glucosidase B,"""1413""",Q8
,b3722,fused beta-glucoside-specific PTS enzymes: IIA component%2FIIB component%2FIIC component,"""1878""",Q8
,b3723,transcriptional antiterminator of the bgl operon,"""837""",Q8
,b3724,negative regulator of PhoR%2FPhoB two-component regulator,"""726""",Q8
,b3725,phosphate transporter subunit,"""774""",Q8
,b3726,phosphate transporter subunit,"""891""",Q8
,b3727,phosphate transporter subunit,"""960""",Q8
,b3728,periplasmic phosphate binding protein%2C high-affinity,"""1041""",Q8
,b3729,L-glutamine:D-fructose-6-phosphate aminotransferase,"""1830""",Q8
,b3730,fused N-acetyl glucosamine-1-phosphate uridyltransferase%2Fglucosamine-1-phosphate acetyl transferase,"""1371""",Q8
,b3731,F1 sector of membrane-bound ATP synthase%2C epsilon subunit,"""420""",Q8
,b3732,F1 sector of membrane-bound ATP synthase%2C beta subunit,"""1383""",Q8
,b3733,F1 sector of membrane-bound ATP synthase%2C gamma subunit,"""864""",Q8
,b3734,F1 sector of membrane-bound ATP synthase%2C alpha subunit,"""1542""",Q8
,b3736,F0 sector of membrane-bound ATP synthase%2C subunit b,"""471""",Q8
,b3737,F0 sector of membrane-bound ATP synthase%2C subunit c,"""240""",Q8
,b3738,F0 sector of membrane-bound ATP synthase%2C subunit a,"""816""",Q8
,b3739,ATP synthase%2C membrane-bound accessory factor,"""381""",Q8
,b3740,16S rRNA m%287%29G527 methyltransferase%2C SAM-dependent%3B glucose-inhibited cell-division protein,"""624""",Q8
,b3741,5-methylaminomethyl-2-thiouridine modification at tRNA U34,"""1890""",Q8
,b3742,FMN-binding protein MioC,"""444""",Q8
,b3743,DNA-binding transcriptional dual regulator,"""459""",Q8
,b3744,asparagine synthetase A,"""993""",Q8
,b3745,putative von Willibrand factor containing protein,"""1452""",Q8
,b3746,fused predicted transcriptional regulator: sigma54 activator protein%2Fconserved protein,"""1497""",Q8
,b3747,potassium transporter,"""1869""",Q8
,b3748,putative cytoplasmic sugar-binding protein,"""420""",Q8
,b3749,fused D-ribose transporter subunits of ABC superfamily: ATP-binding components,"""1506""",Q8
,b3750,D-ribose transporter subunit,"""966""",Q8
,b3751,D-ribose transporter subunit,"""891""",Q8
,b3752,ribokinase,"""930""",Q8
,b3753,DNA-binding transcriptional repressor of ribose metabolism,"""993""",Q8
,b3754,putative multidrug or homocysteine efflux system,"""1428""",Q8
,b3755,putative transcriptional regulator,"""693""",Q8
,b3756,16S ribosomal RNA of rrnC operon,"""1542""",Q8
,b3757,tRNA-Glu,"""76""",Q8
,b3758,23S ribosomal RNA of rrnC operon,"""2904""",Q8
,b3759,5S ribosomal RNA of rrnC operon,"""120""",Q8
,b3761,tRNA-Trp,"""76""",Q8
,b4480,DNA-binding transcriptional regulator,"""840""",Q8
,b3764,conserved protein%2C UPF0438 family,"""339""",Q8
,b3765,putative bifunctional enzyme and transcriptional regulator,"""1521""",Q8
,b3766,ilvG operon leader peptide,"""99""",Q8
,b4488,pseudo,"""1645""",Q8
,b3769,acetolactate synthase II%2C small subunit,"""264""",Q8
,b3770,branched-chain amino-acid aminotransferase,"""930""",Q8
,b3771,dihydroxyacid dehydratase,"""1851""",Q8
,b3772,threonine deaminase,"""1545""",Q8
,b3773,DNA-binding transcriptional dual regulator,"""894""",Q8
,b3774,ketol-acid reductoisomerase%2C NAD%28P%29-binding,"""1476""",Q8
,b3775,peptidyl-prolyl cis-trans isomerase C %28rotamase C%29,"""282""",Q8
,b3777,pseudo,"""449""",Q8
,b3778,DNA helicase and single-stranded DNA-dependent ATPase,"""2022""",Q8
,b3779,guanosine pentaphosphatase%2Fexopolyphosphatase,"""1485""",Q8
,b3780,ATP-dependent RNA helicase,"""1266""",Q8
,b3781,thioredoxin 1,"""330""",Q8
,b3783,transcription termination factor,"""1260""",Q8
,b3784,UDP-GlcNAc:undecaprenylphosphate GlcNAc-1-phosphate transferase,"""1104""",Q8
,b3786,UDP-N-acetyl glucosamine-2-epimerase,"""1131""",Q8
,b3785,Entobacterial Common Antigen %28ECA%29 polysaccharide chain length modulation protein,"""1047""",Q8
,b3787,UDP-N-acetyl-D-mannosaminuronic acid dehydrogenase,"""1263""",Q8
,b3788,dTDP-glucose 4%2C6-dehydratase,"""1068""",Q8
,b3791,TDP-4-oxo-6-deoxy-D-glucose transaminase,"""1131""",Q8
,b3790,TDP-fucosamine acetyltransferase,"""675""",Q8
,b3792,O-antigen translocase,"""1251""",Q8
,b4481,TDP-Fuc4NAc:lipidIIFuc4NAc transferase,"""1080""",Q8
,b3793,putative Wzy protein involved in ECA polysaccharide chain elongation,"""1353""",Q8
,b3794,UDP-N-acetyl-D-mannosaminuronic acid transferase,"""741""",Q8
,b3795,putative transporter,"""1386""",Q8
,b3796,tRNA-Arg,"""77""",Q8
,b3797,tRNA-His,"""77""",Q8
,b3798,tRNA-Leu,"""87""",Q8
,b3800,putative regulator of arylsulfatase activity,"""1236""",Q8
,b3801,acrylsulfatase-like enzyme,"""1656""",Q8
,b4456,sRNA antisense activator of glmS mRNA%2C Hfq-dependent,"""207""",Q8
,b3802,putative protoheme IX synthesis protein,"""1197""",Q8
,b3803,putative uroporphyrinogen III methyltransferase,"""1182""",Q8
,b3804,uroporphyrinogen III synthase,"""741""",Q8
,b3805,hydroxymethylbilane synthase,"""942""",Q8
,b3806,adenylate cyclase,"""2547""",Q8
,b3807,iron-dependent inhibitor of iron-sulfur cluster formation%3B frataxin%3B iron-binding and oxidizing protein,"""321""",Q8
,b4558,putative lipoprotein,"""204""",Q8
,b3809,diaminopimelate epimerase,"""825""",Q8
,b3810,conserved protein%2C DUF484 family,"""708""",Q8
,b3811,site-specific tyrosine recombinase,"""897""",Q8
,b3812,FMN phosphatase,"""717""",Q8
,b3813,DNA-dependent ATPase I and helicase II,"""2163""",Q8
,b4482,putative protein%2C DUF2233 family,"""765""",Q8
,b3816,magnesium%2Fnickel%2Fcobalt transporter,"""951""",Q8
,b3817,putative inner membrane protein,"""381""",Q8
,b3818,conserved inner membrane protein,"""381""",Q8
,b3819,putative chloramphenical resistance permease,"""891""",Q8
,b3821,outer membrane phospholipase A,"""870""",Q8
,b3820,conserved protein%2C 4HBT family of thioesterases,"""468""",Q8
,b3822,ATP-dependent DNA helicase,"""1830""",Q8
,b3823,threonine efflux pump,"""621""",Q8
,b3824,homoserine%2C homoserine lactone and S-methyl-methionine efflux pump,"""621""",Q8
,b3825,lysophospholipase L2,"""1023""",Q8
,b3826,putative hydrolase,"""801""",Q8
,b3827,putative inner membrane protein,"""900""",Q8
,b3828,DNA-binding transcriptional activator%2C homocysteine-binding,"""954""",Q8
,b3829,5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase,"""2262""",Q8
,b3830,putative hydrolase,"""816""",Q8
,b3831,uridine phosphorylase,"""762""",Q8
,b3832,putative recombination limiting protein,"""1428""",Q8
,b3833,bifunctional 2-octaprenyl-6-methoxy-1%2C4-benzoquinone methylase%2F S-adenosylmethionine:2-DMK methyltransferase,"""756""",Q8
,b3834,conserved protein%2C SCP2 family,"""606""",Q8
,b3835,2-octaprenylphenol hydroxylase,"""1641""",Q8
,b3836,TatABCE protein translocation system subunit,"""270""",Q8
,b3839,TatABCE protein translocation system subunit,"""777""",Q8
,b4483,quality control of Tat-exported FeS proteins%3B Mg-dependent cytoplasmic DNase,"""783""",Q8
,b3842,DNA-binding transcriptional antiterminator,"""489""",Q8
,b3843,3-octaprenyl-4-hydroxybenzoate decarboxylase,"""1494""",Q8
,b3845,3-ketoacyl-CoA thiolase %28thiolase I%29,"""1164""",Q8
,b3846,fused 3-hydroxybutyryl-CoA epimerase%2Fdelta%283%29-cis-delta%282%29-trans-enoyl-CoA isomerase%2Fenoyl-CoA hydratase%2F3-hydroxyacyl-CoA dehydrogenase,"""2190""",Q8
,b3847,proline dipeptidase,"""1332""",Q8
,b3848,conserved protein%2C UPF0029 family,"""615""",Q8
,b3849,potassium transporter,"""1452""",Q8
,b3850,protoporphyrin oxidase%2C flavoprotein,"""546""",Q8
,b3851,16S ribosomal RNA of rrnA operon,"""1542""",Q8
,b3852,tRNA-Ile,"""77""",Q8
,b3853,tRNA-Ala,"""76""",Q8
,b3854,23S ribosomal RNA of rrnA operon,"""2905""",Q8
,b3855,5S ribosomal RNA of rrnA operon,"""120""",Q8
,b3856,molybdopterin-guanine dinucleotide biosynthesis protein B,"""528""",Q8
,b3857,molybdopterin-guanine dinucleotide synthase,"""585""",Q8
,b3858,DUF1040 protein YihD,"""270""",Q8
,b3859,Thr%2FSer kinase implicated in Cpx stress response,"""987""",Q8
,b3860,periplasmic protein disulfide isomerase I,"""627""",Q8
,b3861,conserved protein%2C DUF945 family,"""1431""",Q8
,b3862,inner membrane protein%2C Predicted acyltransferas,"""933""",Q8
,b3863,fused DNA polymerase I 5%27-%3E3%27 polymerase%2F3%27-%3E5%27 exonuclease%2F5%27-%3E3%27 exonuclease,"""2787""",Q8
,b3864,Spot 42 sRNA antisense regulator of galK translation%2C Hfq-dependent,"""109""",Q8
,b4457,CsrC sRNA sequesters CsrA%2C a carbon flux regulator,"""245""",Q8
,b3865,GTP-binding protein required for normal cell division,"""633""",Q8
,b3866,activator of Der GTPase,"""510""",Q8
,b3867,coproporphyrinogen III oxidase%2C SAM and NAD%28P%29H dependent%2C oxygen-independent,"""1374""",Q8
,b4686,hypothetical protein,"""111""",Q8
,b3868,fused DNA-binding response regulator in two-component regulatory system with GlnL: response regulator%2Fsigma54 interaction protein,"""1410""",Q8
,b3869,sensory histidine kinase in two-component regulatory system with GlnG,"""1050""",Q8
,b3870,glutamine synthetase,"""1410""",Q8
,b3871,GTP-binding protein,"""1824""",Q8
,b3872,putative DNA-binding transcriptional regulator,"""711""",Q8
,b3873,putative sugar phosphate isomerase,"""981""",Q8
